person age,person income,person emp length,loan amnt,loan int rate,loan percent income,cb person cred hist length,person home ownership MORTGAGE,person home ownership OTHER,person home ownership OWN,person home ownership RENT,loan intent DEBTCONSOLIDATION,loan intent EDUCATION,loan intent HOMEIMPROVEMENT,loan intent MEDICAL,loan intent PERSONAL,loan intent VENTURE,cb person default on file N,cb person default on file Y
0.04852032,0.6601677,0.2795507,0.599243,0.25666705,0.2616288,0.111634165,0.022698797,0.00025426064,3.2300174,0.28063592,0.08515179,0.024480784,0.039473917,0.30005413,0.028883483,0.064932145,0.15243627,0.047681488
0.17024177,0.38464612,0.52809906,0.056218192,2.025366,0.33247223,0.027549967,0.07042789,0.00011212993,0.11529291,0.31959137,0.12050298,0.0014412652,0.053423665,0.10601256,0.21228667,0.07051043,0.19109754,0.023806944
0.13994409,0.91259384,0.38851646,0.1164502,0.289466,1.0440167,0.11307709,0.027429078,7.430082e-05,0.07607955,0.14992599,0.102643445,0.009339575,0.07858993,0.05548326,0.020915616,0.8663912,0.15103182,0.014581805
0.09622712,0.042154822,0.29835388,0.100729585,1.7540121,1.0417924,0.48036236,0.0054892204,0.0002759875,0.072353035,0.14669436,0.06534935,0.039121415,0.24307406,0.04009787,0.022430465,1.3088915,0.10765861,0.018122336
0.32094052,0.6273226,0.28595385,0.002681181,1.1042553,0.32146034,0.073156774,0.04262195,0.0008399306,0.094841294,0.30390728,0.066227995,0.03524731,0.09571488,0.056426153,0.0129182795,0.15858795,0.05367671,0.00755921
0.27934378,0.534855,0.5061244,0.32769802,1.2878864,0.2055536,0.15057775,0.0954583,0.00031749794,0.07123559,0.42833835,0.33491454,0.059619308,0.39085624,0.29640606,0.056445602,0.120852225,0.07039437,0.0070192656
0.41430962,1.4937938,0.35210195,0.3325148,0.30860823,1.5717903,0.41092807,0.04544103,1.5278605e-05,0.061237834,0.083857395,0.054678578,0.06705713,0.23234394,0.069419615,0.038422734,0.076945394,0.041132506,0.0015293097
0.32880145,0.37269235,0.24928553,0.08921909,0.79375494,0.39546078,0.37564456,0.036578503,0.00043989514,0.08505935,0.2381192,0.059169956,0.015314956,0.07464276,0.06734064,0.15365362,0.16979723,0.029434612,0.002892724
0.6166629,0.26437968,0.46197972,0.031479795,1.3862112,0.2986701,0.2927057,0.07243151,0.00027211703,0.112768345,0.5026134,0.08252921,0.0067900065,0.748597,0.075844035,0.006670322,0.16565612,0.043031078,0.0072057154
0.13126364,0.61838615,0.37854058,0.21425389,0.06968928,3.4295678,0.26009837,0.3606968,0.0012572997,0.15539153,0.81114143,0.0561928,0.15102829,0.13988279,0.06791102,0.017016435,0.022464588,0.17186397,0.01051413
0.09828353,0.25845894,0.23302186,0.05131836,0.09194213,0.69487417,0.37682405,0.011951317,2.9341001e-05,0.0977422,0.11471542,0.07035524,0.16848743,0.20101841,0.038580388,0.005823775,0.07782109,0.03477052,0.0017731877
0.2531071,1.1166433,0.23789696,0.087579004,1.4598873,0.3763637,0.0417156,0.04621552,0.00020586498,0.062316924,0.32070994,0.07786273,0.0020543893,0.091415554,0.086715184,0.04244488,1.1998049,0.15641668,0.014441048
0.13395578,0.08544367,0.19754177,0.11860288,0.54279363,0.5191793,0.43985564,0.0074678115,0.0014029895,0.08867256,0.13638665,0.054120857,0.0012660251,0.13216211,0.030363664,0.07866474,0.13488683,0.055538226,0.002436777
0.31211922,0.01158543,0.4334259,0.09012926,0.7973876,0.22352342,0.3790954,0.05902902,0.0012036843,0.08407307,0.270584,0.07153703,0.109151065,0.077318,0.087015584,0.021453323,0.16456677,0.04293647,0.00176105
0.08968063,0.018383225,0.101439595,0.2649769,0.22301064,3.668655,0.30145466,0.30600804,0.0006337157,0.1485564,0.7521993,0.16953747,0.02662235,0.125561,0.04300947,0.013238252,0.036538735,0.027461454,0.0016168763
0.5655419,0.73454636,0.620784,0.37784204,1.2070929,0.38355115,0.34609863,0.06599727,0.00029845163,0.08816951,0.2942798,0.22259434,0.063655466,0.46750504,0.20112765,0.03320885,0.088509485,0.055958692,0.00054752023
0.3514107,0.94650954,0.35868505,0.10728413,1.40118,0.64435387,0.0632771,0.015192324,0.00015110326,0.07054774,0.235013,0.07186859,0.0082118185,0.09333467,0.17137903,0.027823258,0.14729692,0.07953263,0.007527774
0.07134721,0.08156682,0.16164942,0.15443948,0.8430461,0.7314635,0.39781132,0.018284164,0.000198439,0.081706434,0.089728214,0.048344932,0.019797761,0.116730824,0.13320708,0.012757718,0.16611628,0.05554048,0.00445413
0.19665028,0.22838716,0.12954837,0.7779536,0.99424434,4.547133,0.24905056,0.42400864,0.00078342424,0.12940203,1.152252,0.0457732,0.023046842,0.13402304,0.06584532,0.005535488,0.61011386,0.067402676,0.012417451
0.4457711,1.1447268,0.169413,0.40029255,0.19728383,0.24937205,0.23705165,0.07287446,0.00012990969,0.08450871,0.28601944,0.0988846,0.008696673,0.4905783,0.12656583,0.04719869,0.06542145,0.30354434,0.04834657
0.42552462,1.0949581,0.3649832,0.083426945,1.498484,0.61978203,0.032040413,0.021493632,0.000615808,0.08574309,0.13555117,0.23562096,0.009412943,0.17819645,0.02030922,0.010265008,0.14057593,0.036368504,0.007651503
0.15258867,0.14928518,0.39671046,0.01625345,2.1710703,0.51855665,0.05939428,0.046545047,2.170269e-06,0.11645903,0.34997448,0.15987599,0.10124779,0.07018431,0.09861589,0.010067905,0.0722772,0.039647788,0.0057304166
0.22750016,1.2134256,0.29046804,0.007798495,0.29844376,0.77790546,0.2125913,0.016817413,0.00011936488,0.07634096,0.11642084,0.093693525,0.07152772,0.08682177,0.043179628,0.017251903,0.10773621,0.08115517,0.0020950448
0.17638092,0.6919365,0.37190142,0.090347454,0.22111681,0.5794754,0.4230292,0.0048757573,4.2865602e-05,0.08298132,0.10911768,0.08917751,0.06825219,0.08335293,0.04514119,0.010329519,0.09492144,0.057221647,0.002485981
0.14024596,0.073263936,0.31220385,0.01987808,0.03193025,0.2875409,0.3890473,0.0034615502,0.11665484,0.10354799,0.21683905,0.29288623,0.05010069,0.1491179,0.08246075,0.042298462,0.062294852,0.17494138,0.0030051805
